id	Titre	Recette	Duree	Ingredients 	Calories	Proteines	Lipides	Glucides	Youtube	Image	Cuisine	Cathegorie
129	Thiéboudiène	Cuire le poisson et légumes dans une sauce tomate épicée, servir avec du riz.	1-3 heures	Poisson, riz, légumes, sauce tomate	400	30	10	50	https://example.com/thieboudiene.jpg	https://img.lemde.fr/2018/03/27/406/0/5760/2880/1440/720/60/0/532f98c_18068-6hi00q.b16kl.jpg	NULL	NULL
130	Toast	Griller du pain, ajouter garnitures comme fromage ou légumes.	15-30 minutes	Pain, garnitures au choix	200	5	4	30	https://example.com/toast.jpg	https://sugarspunrun.com/wp-content/uploads/2023/08/French-Toast-recipe-1-of-1.jpg	NULL	NULL
131	Tomates aux oeufs	Émincer l’oignon et le faire revenir dans l’huile.Puis Ajouter les tomates coupées en dés et cuire jusqu'à ce qu'elles soient tendres.Apres Casser les œufs directement dans la poêle et mélanger doucement.Et Assaisonner avec sel, poivre, et persil.	15-30 minutes	Œufs, tomates, oignon, huile d'olive, sel, poivre, persil	200	12	14	5	https://example.com/tomates-oeufs.jpg	https://img.over-blog-kiwi.com/1/49/80/26/20161010/ob_91f1c3_tomates16.jpg	NULL	NULL
132	Tortilla	Éplucher et couper des pommes de terre en fines rondelles. Cuire dans de l'huile avec des oignons émincés jusqu’à ce qu’ils soient tendres. Battre des œufs dans un bol, mélanger avec les pommes de terre et oignons. Verser le mélange dans une poêle et cuire doucement.	30-60 minutes	Pommes de terre, œufs, oignon, huile d'olive, sel, poivre	300	8	18	25	https://example.com/tortilla.jpg	https://th.bing.com/th/id/OIP.sZNiKzYf8htjekvMxShLNwAAAA?rs=1&pid=ImgDetMain	NULL	NULL
133	Viande	Simple cuisson à la poêle ou au four avec des épices selon le choix (ail, persil, sel, poivre, paprika).	30-60 minutes	Viande (bœuf ou agneau), épices, huile d'olive, sel	250	20	15	3	https://example.com/viande.jpg	https://th.bing.com/th/id/R.07e60aa16ccec64bf9e261229e33a5d7?rik=AXUomxnWzy0nRw&riu=http%3a%2f%2fwww.medisite.fr%2ffiles%2fimages%2farticle%2f5%2f4%2f1%2f2363145%2f4005203-inline.jpg&ehk=uy2htRkILzLKdoJlMIUwVxr1TBL5une%2fsRBsXwGDiJ0%3d&risl=&pid=ImgRaw&r=0	NULL	NULL
134	Viande avec pruneaux	Faire revenir de la viande dans une marmite avec des oignons et des épices. Ajouter de l’eau et laisser mijoter jusqu’à tendreté. Ajouter des pruneaux préalablement trempés, un peu de miel et de la cannelle. Réduire jusqu’à ce que la sauce épaississe.	1-3 heures	Viande, pruneaux, cannelle, miel, oignons, amandes	400	25	20	15	https://example.com/viande-pruneaux.jpg	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWjCc32Bx-nKkF2l_PPNA_eJ076HNhDnEBTw&s	NULL	NULL
135	Viande grillée	Mariner la viande avec des épices, ail, huile d’olive, et jus de citron. Faire griller au barbecue ou à la poêle.	30-60 minutes	Viande (poulet ou bœuf), herbes, épices, huile	350	30	10	2	https://example.com/viande-grillee.jpg	https://i0.wp.com/ericpineau.fr/wp-content/uploads/2021/03/grillade-de-boeuf.jpg?fit=800%2C600&ssl=1	NULL	NULL
136	Viande haché	Assaisonner la viande hachée avec du sel, du poivre, du persil et de l’ail. Façonner en boulettes ou en steaks. Cuire dans une poêle ou au four.	30-60 minutes	Viande hachée, persil, épices, oignon, huile	280	25	22	5	https://example.com/viande-hachee.jpg	https://ffcuisine.fr/wp-content/uploads/2024/07/1721633309_recette-a-base-de-viande-hachee.jpg	NULL	NULL
137	Yassa sénégalaise	Mariner du poulet ou de la viande avec du citron, des oignons, de la moutarde, du poivre, et des épices. Faire revenir les oignons, ajouter le poulet ou la viande et cuire avec la marinade. Accompagner avec du riz.	1-3 heures	Poulet, oignons, citron, moutarde, épices, huile, riz	450	35	18	20	https://example.com/yassa.jpg	https://couteaux-et-tirebouchons.com/wp-content/uploads/2020/09/Poulet-yassa-recette-senegalaise-traditionnelle-scaled-e1599850132709.jpg	NULL	NULL
138	Zaalouk	Faire cuire des aubergines et des tomates. Les écraser et les mélanger avec de l’ail, du persil, et de l’huile d’olive. Assaisonner avec du sel, du poivre, et du paprika.	30-60 minutes	Aubergines, tomates, ail, huile d'olive, épices	150	5	8	10	https://example.com/zaalouk.jpg	https://upload.wikimedia.org/wikipedia/commons/a/a5/Zaalook.jpg	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
